Cluster;Problem-Centered;Activation;Demonstration;Application;Integration;Teaching Methods
Medical & Health Sciences;5;4;5;5;5;5
Engineering & Technology;5;5;5;5;5;5
Natural Sciences;5;5;5;5;5;5
Natural Sciences;5;5;5;5;5;5
Applied Sciences & Vocational Fields;5;5;5;5;5;5
Design & Creative Arts;5;5;5;5;5;5
Natural Sciences;5;5;5;5;5;5
Natural Sciences;5;4;5;5;5;5
Medical & Health Sciences;5;4;5;5;5;5
Engineering & Technology;5;4;5;5;4;5
Computer Science & Data;5;4;5;5;4;5
Engineering & Technology;5;4;5;5;5;5
Design & Creative Arts;5;4;5;5;5;5
Engineering & Technology;5;5;5;5;5;5
Computer Science & Data;5;5;5;5;5;5
Engineering & Technology;5;4;5;5;5;5
Natural Sciences;5;4;5;5;5;5
Natural Sciences;5;4;5;5;5;5
Applied Sciences & Vocational Fields;5;4;5;5;5;5
Design & Creative Arts;5;5;5;5;5;5
Business & Economics;5;5;5;5;5;5
Natural Sciences;5;4;5;5;5;5
Applied Sciences & Vocational Fields;5;4;5;5;5;5
Business & Economics;5;5;5;5;5;5
Applied Sciences & Vocational Fields;5;5;5;5;5;5
Social Sciences & Humanities;5;5;5;5;5;5
Social Sciences & Humanities;5;4;5;5;5;5
Social Sciences & Humanities;5;4;5;5;5;5
Business & Economics;5;4;5;5;4;5
Applied Sciences & Vocational Fields;5;4;5;5;4;5
Engineering & Technology;5;4;5;5;5;5
Applied Sciences & Vocational Fields;5;4;5;5;5;5
Natural Sciences;5;4;5;5;5;5
Medical & Health Sciences;5;5;5;5;5;5
Medical & Health Sciences;5;4;5;5;5;5
Natural Sciences;5;4;5;5;5;5
Social Sciences & Humanities;5;5;5;5;5;5
Medical & Health Sciences;5;4;5;5;5;5
Social Sciences & Humanities;5;4;5;5;5;5
Medical & Health Sciences;5;4;5;5;5;5
Business & Economics;5;4;5;5;5;5
Applied Sciences & Vocational Fields;5;4;5;5;5;5
Business & Economics;5;5;5;5;5;5
Engineering & Technology;5;4;5;5;5;5
Computer Science & Data;5;4;5;5;5;5
Applied Sciences & Vocational Fields;5;5;5;5;5;5
Engineering & Technology;5;5;5;5;5;5
Applied Sciences & Vocational Fields;5;5;5;5;5;5
Engineering & Technology;5;5;5;5;5;5
Social Sciences & Humanities;5;5;5;5;5;5
Engineering & Technology;5;4;5;5;4;5
Natural Sciences;5;4;5;5;4;5
Engineering & Technology;5;4;4;5;4;4
Medical & Health Sciences;5;4;4;5;4;4
Engineering & Technology;5;4;5;5;4;4
Medical & Health Sciences;5;4;5;5;4;4
Engineering & Technology;5;4;4;5;5;4
Natural Sciences;5;4;4;5;5;4
Business & Economics;5;4;5;5;4;5
Computer Science & Data;5;4;5;5;5;5
Business & Economics;5;4;5;5;5;5
Business & Economics;5;4;5;5;5;5
Engineering & Technology;5;4;5;5;4;5
Natural Sciences;5;4;5;5;4;5
Engineering & Technology;5;4;5;5;4;4
Natural Sciences;5;4;5;5;4;4
Computer Science & Data;5;4;5;5;5;5
Design & Creative Arts;5;4;5;5;5;5
Natural Sciences;4;4;5;5;4;5
Computer Science & Data;4;4;5;5;4;5
Engineering & Technology;5;4;5;5;5;5
Computer Science & Data;5;4;5;5;5;5
Computer Science & Data;4;4;4;5;4;4
Engineering & Technology;5;4;4;5;5;4
Computer Science & Data;5;4;4;5;5;4
Engineering & Technology;5;5;5;5;5;5
Computer Science & Data;5;5;5;5;5;5
Computer Science & Data;5;4;4;5;4;4
Engineering & Technology;5;4;4;5;4;4
Engineering & Technology;5;5;5;5;5;5
Computer Science & Data;5;5;5;5;5;5
Engineering & Technology;5;5;5;5;5;5
Applied Sciences & Vocational Fields;5;5;5;5;5;5
Business & Economics;5;4;5;5;5;5
Social Sciences & Humanities;5;4;5;5;5;5
Social Sciences & Humanities;4;4;4;5;4;4
Applied Sciences & Vocational Fields;4;4;4;5;4;4
Engineering & Technology;5;4;5;5;4;5
Computer Science & Data;5;4;5;5;4;5
Engineering & Technology;5;4;5;5;4;5
Engineering & Technology;5;4;5;5;4;5
Computer Science & Data;5;4;5;5;4;5
Engineering & Technology;5;5;5;5;5;5
Natural Sciences;5;5;5;5;5;5
Social Sciences & Humanities;5;5;5;5;5;5
Business & Economics;4;4;4;5;4;4
Medical & Health Sciences;5;5;5;5;5;5
Medical & Health Sciences;5;5;5;5;5;5
Natural Sciences;5;5;5;5;5;5
Engineering & Technology;5;4;4;5;4;4
Business & Economics;5;4;4;5;4;4
Engineering & Technology;5;4;4;5;4;4
Business & Economics;5;4;4;5;4;4
Engineering & Technology;5;4;5;5;4;5
Engineering & Technology;5;4;5;5;4;5
Design & Creative Arts;5;4;5;5;4;5
Engineering & Technology;5;5;5;5;5;5
Design & Creative Arts;5;5;5;5;5;5
Natural Sciences;5;4;5;5;4;5
Medical & Health Sciences;5;4;5;5;4;5
Business & Economics;5;4;4;5;5;5
Business & Economics;5;4;4;5;4;4
Social Sciences & Humanities;5;4;4;5;4;4
Business & Economics;4;4;4;5;4;4
Social Sciences & Humanities;4;4;4;5;4;4
Engineering & Technology;5;4;4;5;4;5
Engineering & Technology;5;4;5;5;4;5
Natural Sciences;5;4;5;5;4;5
Natural Sciences;5;4;5;5;5;4
Engineering & Technology;5;4;5;5;5;5
Social Sciences & Humanities;5;5;5;5;5;5
Design & Creative Arts;5;5;5;5;5;5
Engineering & Technology;5;4;5;5;4;5
Medical & Health Sciences;5;4;5;5;4;5
Business & Economics;5;4;5;5;4;5
Computer Science & Data;5;4;5;5;4;5
Social Sciences & Humanities;5;5;4;5;5;4
Natural Sciences;5;5;4;5;5;4
Engineering & Technology;5;5;5;5;5;5
Natural Sciences;5;5;5;5;5;5
Engineering & Technology;5;4;4;5;4;5
Applied Sciences & Vocational Fields;5;4;4;5;4;5
Social Sciences & Humanities;4;4;4;5;4;4
Computer Science & Data;5;5;5;5;5;5
Engineering & Technology;5;4;5;5;4;4
Natural Sciences;5;4;5;5;4;4
Engineering & Technology;5;4;5;5;4;5
Natural Sciences;5;4;5;5;4;5
Engineering & Technology;5;4;5;5;4;5
Computer Science & Data;5;4;5;5;4;5
Engineering & Technology;5;4;5;5;5;5
Applied Sciences & Vocational Fields;5;4;5;5;5;5
Applied Sciences & Vocational Fields;5;5;5;5;5;5
Computer Science & Data;5;4;4;5;5;4
Design & Creative Arts;5;4;4;5;5;4
Business & Economics;5;5;5;5;5;5
Applied Sciences & Vocational Fields;5;5;5;5;5;5
